TOLIMA;ATACO;POMARROSO;RURAL 
TOLIMA;ATACO;SAN ANTONIO DE POLE;RURAL 
TOLIMA;ATACO;SAN PEDRO (TOTUMAL);RURAL 
TOLIMA;CAJAMARCA;PUESTO CABECERA MUNICIPAL;INST.NUESTRA SEÑORA DEL ROSARIO
TOLIMA;CAJAMARCA;ANAIME;INSTITUCION EDUCATIVA 
TOLIMA;CAJAMARCA;EL CAJON;INSTITUCION EDUCATIVA
TOLIMA;CARMEN DE APICALA;PUESTO CABECERA MUNICIPAL;INST.PEDRO PAVON 
TOLIMA;CASABIANCA;PUESTO CABECERA MUNICIPAL;PLAZA DE MERCADO 
TOLIMA;CASABIANCA;SAN JERONIMO;RURAL
TOLIMA;CASABIANCA;LEMBO;RURAL
TOLIMA;COELLO;PUESTO CABECERA MUNICIPAL;INST.SIMON BOLIVAR
TOLIMA;COELLO;GUALANDAY;I.E. MARCO FIDEL SUAREZ
TOLIMA;COELLO;LA BARRIALOSA;I.E. LA BARRIALOSA
TOLIMA;COELLO;VEGA DE LOS PADRES;I.E. TECNICA LA VEGA DE LOS PADRES
TOLIMA;COELLO;LLANO DE LA VIRGEN;I.E. CARLOS LLERAS RESTREPO
TOLIMA;COELLO;POTRERILLO;I.E. POTRERILLO
TOLIMA;COYAIMA;PUESTO CABECERA MUNICIPAL;INST.MANUELA BELTRAN 
TOLIMA;COYAIMA;CASTILLA;ESCUELA  RURAL 
TOLIMA;COYAIMA;HILARCO;ESCUELA  RURAL 
TOLIMA;COYAIMA;MESAS DE SAN JUAN;CASETA COMUNAL  
TOLIMA;COYAIMA;SANTA MARTA;CASETA COMUNAL  
TOLIMA;CUNDAY;PUESTO CABECERA MUNICIPAL;INT.LOS PITUFOS
TOLIMA;CUNDAY;LA AURORA;INSTITUCION EDUCATIVA
TOLIMA;CUNDAY;BUENAVISTA;INSTITUCION EDUCATIVA
TOLIMA;CUNDAY;SAN PABLO;INSTITUCION EDUCATIVA
TOLIMA;CUNDAY;TRES ESQUINAS;INSTITUCION EDUCATIVA
TOLIMA;CUNDAY;VALENCIA (SAN BERNARDO);INSTITUCION EDUCATIVA
TOLIMA;CUNDAY;VARSOVIA;INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;COL. MANUEL MURILLO TORO;AVENIDA EL ESTUDIANTE 
TOLIMA;CHAPARRAL;ESC. GABRIELA MISTRAL;CLL 10 3-52 VERSALLES
TOLIMA;CHAPARRAL;ESC. VILLA DEL ROCIO;BARRIO VILLA DEL ROCIO
TOLIMA;CHAPARRAL;ESC. MARCO TULIO ALVIRA;CLL 8 BARRIO CASTAÑAL
TOLIMA;CHAPARRAL;ESC. SALOMON UMAÑA;CRA 14 CRA 10 ESQ
TOLIMA;CHAPARRAL;POLIDEPORTIVO PIJAO DE ORO;CRA 8 CLL 11
TOLIMA;CHAPARRAL;CARCEL DEL CIRCUITO;CLL 9 CRA 5 ESTE CARMENZA ROCHA
TOLIMA;CHAPARRAL;AMOYA ( LAS CRUCES);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;AMOYA (LA CORTES);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;AMOYA ( COPETE);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;EL LIMON;INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;EL LIMON (LA PROFUNDA);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;CALARMA (RISALDA - CALARMA);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;CALARMA (POTRERITO DE LUGO);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;CALARMA (YAGUARA);INSTITUCION EDUCATIVA
